productCode,productName,imageUrl,tags,productDescription,productType,subcategory,fabricType
PKS120,Men's Economy Long Sleeve Office Shirts Hawkes Blue,Men's Economy Long Sleeve Office Shirts Hawkes Blue.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Viscose
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,polyester
PKS121,Men's Formal Curve Bottom Shirts Royal Blue,Men's Formal Curve Bottom Shirts Royal Blue.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Cotton Fabric
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,Nylon
PKS122,mens-formal-curve-bottom-shirts-sky-blue,mens-formal-curve-bottom-shirts-sky-blue.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Cotton Fabric
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,Nylon
PKS123,mens-formal-curve-bottom-shirts-ceil,mens-formal-curve-bottom-shirts-ceil.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Cotton Fabric
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,Nylon
PKS124,mens-formal-curve-bottom-shirts-white,mens-formal-curve-bottom-shirts-white.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Cotton Fabric
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,Nylon
PKS125,mens-formal-curve-bottom-shirts-black,mens-formal-curve-bottom-shirts-black.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Cotton Fabric
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,Nylon
PKS126,mens-formal-curve-bottom-shirts-red,mens-formal-curve-bottom-shirts-red.jpg,"Shirt, Shirts, corporate Shirt,Corporate shirts, corporate's shirts,corporate's shirt,corporate-shirt, corporate-shirts","Specifications:

Max. Embroidered Size : 3.5 inch x 3.5 inch
Fabric:  Polyester Cotton Fabric
Collar: Regular
Sleeves: Full sleeves
Formal Shirt",Corporate-Shirt,10,Nylon
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
